name,ingredients,instructions,cuisine,prep_time,cook_time,difficulty
Paneer Butter Masala,"Paneer, Butter, Tomato, Cream, Onion, Garlic, Ginger, Spices","1. Fry onions until golden. 2. Add ginger-garlic paste. 3. Add tomatoes and cook until soft. 4. Add spices and cream. 5. Add paneer cubes. 6. Simmer for 5 minutes. 7. Garnish with butter and serve hot.",Indian,20,25,Medium
Aloo Gobi,"Potato, Cauliflower, Onion, Tomato, Turmeric, Cumin, Spices","1. Chop potatoes and cauliflower. 2. Heat oil and add cumin seeds. 3. Add onions and cook. 4. Add tomatoes and spices. 5. Add vegetables and cook covered. 6. Serve hot with roti.",Indian,15,20,Easy
Dal Tadka,"Lentils, Ghee, Garlic, Onion, Tomato, Cumin, Turmeric, Spices","1. Boil lentils with turmeric. 2. Heat ghee in pan. 3. Add cumin and garlic. 4. Add onions and tomatoes. 5. Pour tadka over dal. 6. Mix and serve with rice.",Indian,10,30,Easy
Chicken Curry,"Chicken, Onion, Tomato, Yogurt, Ginger, Garlic, Spices, Oil","1. Marinate chicken with yogurt and spices. 2. Fry onions until brown. 3. Add ginger-garlic paste. 4. Add tomatoes and cook. 5. Add chicken and cook until done. 6. Garnish with coriander.",Indian,30,35,Medium
Vegetable Biryani,"Rice, Mixed Vegetables, Onion, Yogurt, Mint, Saffron, Spices","1. Soak rice for 30 minutes. 2. Fry onions until crispy. 3. Layer rice and vegetables. 4. Add saffron milk and mint. 5. Cook on low heat for 20 minutes. 6. Serve with raita.",Indian,40,30,Hard
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Cream, Garlic, Ginger, Spices","1. Blanch spinach and make puree. 2. Fry onions and tomatoes. 3. Add ginger-garlic paste. 4. Add spinach puree and spices. 5. Add paneer cubes. 6. Add cream and simmer.",Indian,15,20,Medium
Chole Bhature,"Chickpeas, Onion, Tomato, Ginger, Garlic, Spices, Flour, Yogurt","1. Soak chickpeas overnight. 2. Pressure cook with spices. 3. Make gravy with onions and tomatoes. 4. Mix chickpeas with gravy. 5. Make dough with flour and yogurt. 6. Deep fry bhature and serve.",Indian,480,45,Hard
Rajma Masala,"Kidney Beans, Onion, Tomato, Ginger, Garlic, Cream, Spices","1. Soak rajma overnight. 2. Pressure cook until soft. 3. Fry onions and tomatoes. 4. Add ginger-garlic paste and spices. 5. Add cooked rajma. 6. Simmer and add cream.",Indian,480,30,Medium
Egg Curry,"Eggs, Onion, Tomato, Coconut Milk, Curry Leaves, Spices","1. Boil eggs and peel. 2. Fry onions until golden. 3. Add tomatoes and spices. 4. Add coconut milk. 5. Add boiled eggs. 6. Simmer for 10 minutes.",Indian,15,20,Easy
Masala Dosa,"Rice, Lentils, Potato, Onion, Mustard Seeds, Curry Leaves, Turmeric","1. Soak rice and lentils. 2. Grind to make batter. 3. Ferment overnight. 4. Make potato filling with spices. 5. Spread batter on hot griddle. 6. Add filling and fold.",South Indian,720,30,Hard
